category,type,difficulty,question,correct_answer,incorrect_answers
"Mythology","multiple","hard","In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?","Nidhogg","Bragi|Odin|Ymir"
"Entertainment: Video Games","boolean","easy","In Team Fortress 2, being disguised as a scout or medic results in a speed boost.","False","True"
"History","multiple","hard","Who was the President of the United States during the signing of the Gadsden Purchase?","Franklin Pierce","Andrew Johnson|Abraham Lincoln|James Polk"
"Entertainment: Film","multiple","medium","Darth Vader&#039;s famous reveal to Luke is iconic. But which of these is the right one?","&quot;No. I am your father.&quot;","&quot;Luke, I am your father.&quot;|&quot;You&#039;re wrong. I am your father.&quot;|&quot;The truth is that I am your father.&quot;"
"Entertainment: Music","multiple","hard","What was the name of the rock band that Nobuo Uematsu formed that played songs from various Final Fantasy games?","The Black Mages","The Final Fantasies|The Espers|The Rock Summoners"
"Science: Gadgets","multiple","hard","Which of the following is used to measure blood pressure?","Sphygmomanometer","Barometer|Ruler|Haemoerythrometer"
"Entertainment: Books","multiple","hard","Abel Magwitch is a character from which Charles Dickens novel?","Great Expectations","The Pickwick Papers|Nicholas Nickleby|Oliver Twist"
"Entertainment: Video Games","boolean","hard","Super Mario and Paarthurnax (Skyrim) are voiced by the same actor.","True","False"
"Entertainment: Video Games","multiple","medium","In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the &quot;Tactical Nuke&quot; killstreak?","25","20|30|35"
"Entertainment: Video Games","boolean","easy","In &quot;Space Station 13&quot;,  the station has a clown aboard it.","True","False"
"Entertainment: Film","multiple","medium","In the 1971 film &quot;Willy Wonka &amp; the Chocolate Factory&quot;, who played Willy Wonka?","Gene Wilder","Shia LeBouf|Peter Ostrum|Johnny Depp"
"Entertainment: Video Games","boolean","medium","&quot;Return to Castle Wolfenstein&quot; was the only game of the Wolfenstein series where you don&#039;t play as William &quot;B.J.&quot; Blazkowicz.","False","True"
"Mythology","multiple","medium","This Greek mythological figure is the god/goddess of battle strategy (among other things).","Athena","Ares|Artemis|Apollo"
"History","multiple","medium","When did Vesuvius destroy the city of Pompeii? ","79 AD","62 AD|31 BC|54 BC"
"Entertainment: Film","multiple","medium","Which movie of film director Stanley Kubrick is known to be an adaptation of a Stephen King novel?","The Shining","2001: A Space Odyssey| Dr. Strangelove |Eyes Wide Shut"
"Entertainment: Music","multiple","medium","How many copies have Metallica album &quot;Metallica&quot; (A.K.A The Black Album) sold worldwide (in Millions of Copies)?","20.5","19.5|22.5|25.5"
"Animals","multiple","hard","What is the Gray Wolf&#039;s scientific name?","Canis Lupus","Canis Aureus|Canis Latrans|Canis Lupus Lycaon"
"Entertainment: Video Games","multiple","easy","In the original Mega Man series, who is Mega Man&#039;s arch nemesis?","Dr. Wily","Dr. Light|Dr. Bad|Mr. Z"
"Entertainment: Video Games","multiple","medium","In the &quot;Call Of Duty: Zombies&quot; map &quot;Moon&quot;, there is a secondary called the QED. What does QED stand for?","Quantum Entanglement Device","Quad Ectoplasmic Driver|Question Every Dog|Quality Edward Device"
"Entertainment: Video Games","multiple","easy","&quot;Tomb Raider&quot; icon Lara Croft was originally called...","Laura Cruz","Laura Craft|Laura Croft|Lara Craft"
"Geography","boolean","medium","There are no roads in/out of Juneau, Alaska.","True","False"
"Entertainment: Video Games","boolean","easy","In Heroes of the Storm, the Cursed Hollow map gimmick requires players to kill the undead to curse the enemy team.","False","True"
"Mythology","multiple","hard","Who is the Egyptian god of reproduction and lettuce?","Min","Menu|Mut|Meret"
"Entertainment: Video Games","multiple","medium","Toby Fox&#039;s &quot;Megalovania&quot; was first used where?","Radiation&#039;s Earthbound Halloween Hack","Homestuck: [S] Wake|Undertale|Mother: Cognitive Dissonance"
"Entertainment: Music","multiple","medium","What is the opening track on Lorde&#039;s Pure Heroine?","Tennis Court","Team|Royals|400 Lux"
"Mythology","multiple","hard","What was the punishment for Sysiphus&#039;s craftiness?","Cursed to roll a boulder up a hill for eternity.","Tied to a boulder for eternity, being pecked by birds.|Standing in a lake filled with water he could not drink.|To fell a tree that regenerated after every axe swing."
"Entertainment: Video Games","multiple","medium","What system was &quot;Touhou: Highly Responsive to Prayers&quot; released on?","PC-98","OSX 10.9.5|Windows ME|Windows 98"
"Entertainment: Japanese Anime &amp; Manga","boolean","medium","In &quot;JoJo&#039;s Bizarre Adventure&quot;, Father Enrico Pucchi uses a total of 3 stands in Part 6: Stone Ocean.","True","False"
"Entertainment: Video Games","multiple","easy","In the game Half-Life, which enemy is showcased as the final boss?","The Nihilanth","Dr. Wallace Breen|G-Man|The Gonarch"
"Mythology","boolean","easy","According to Greek Mythology, Atlas was an Olympian God.","False","True"
"Entertainment: Video Games","multiple","easy","Which of these Starbound races has a Wild West culture?","Novakid","Avian|Human|Hylotl"
"Entertainment: Video Games","multiple","medium","Just Cause 2 was mainly set in what fictional Southeast Asian island country?","Panau","Davao|Macau|Palau"
"Entertainment: Video Games","multiple","medium","How many stars are there to collect in Super Mario 64?","120","60|80|100"
"Entertainment: Musicals &amp; Theatres","multiple","medium","Which of the following is not a piece from the 1950&#039;s musical West Side Story?","The Back Alley","Maria|Tonight|Mambo"
"Science &amp; Nature","multiple","medium","Where did the Great Storm of 1987 make landfall at, first?","Cornwall","Surrey|Wales|The Midlands"
"Entertainment: Books","multiple","easy","Who wrote &quot;Harry Potter&quot;?","J.K. Rowling","J.R.R. Tolkien|Terry Pratchett|Daniel Radcliffe"
"Politics","multiple","easy","According to the United States Constitution, how old must a person be to be elected President of the United States?","35","30|40|45"
"Mythology","multiple","easy","What mytological creatures have women&#039;s faces and vultures&#039; bodies?","Harpies","Mermaids|Nymph|Lilith"
"Entertainment: Film","multiple","medium","Which famous singer was portrayed by actor Kevin Spacey in the 2004 biographical film &quot;Beyond the Sea&quot;?","Bobby Darin","Louis Armstrong|Frank Sinatra|Dean Martin"
"Science &amp; Nature","multiple","easy","What is the primary addictive substance found in tobacco?","Nicotine","Cathinone|Ephedrine|Glaucine"
"Entertainment: Video Games","multiple","hard","In the Mario Kart series, which game introduced the &quot;Shield Drifting&quot; mechanic?","Mario Kart Arcade GP DX","Mario Kart: Double Dash|Mario Kart Super Circuit|Mario Kart DS"
"Entertainment: Video Games","boolean","medium","In Rocket League, you can play Basketball.","True","False"
"Geography","boolean","easy","New Haven is the capital city of the state of Connecticut in the United States.","False","True"
"Mythology","multiple","medium","What is the name of the first human being in Norse mythology?","Ask","Asmund|Ake|Asger"
"Entertainment: Video Games","multiple","medium","What was the first Super Mario game ever released in North America for the 3DS?","Super Mario 3D Land","Super Mario Maker|New Super Mario Bros. 2|Mario Kart 7"
"History","multiple","medium","All of the following are names of the Seven Warring States EXCEPT:","Zhai (翟)","Zhao (趙)|Qin (秦)|Qi (齊)"
"Entertainment: Video Games","multiple","medium","In Star Wars: Republic Commando (2005), what is the name of the squad that you play as?","Delta Squad","Omega Squad|Echo Squad|Alpha Squad"
"Entertainment: Cartoon &amp; Animations","multiple","medium","Who created &quot;RWBY&quot;?","Monty Oum","Miles Luna|Kerry Shawcross|Shane Newville"
"Entertainment: Television","boolean","medium","Klingons once had a period of Democracy in their history, they referred to it as the &quot;Dark Times&quot;.","True","False"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","In &quot;Hunter x Hunter&quot;, which of the following is NOT a type of Nen aura?","Restoration","Emission|Transmutation|Specialization"
"General Knowledge","multiple","easy","What is the Spanish word for &quot;donkey&quot;?","Burro","Caballo|Toro|Perro"
"General Knowledge","multiple","easy","What is the first book of the Old Testament?","Genesis","Exodus|Leviticus|Numbers"
"Entertainment: Film","multiple","easy","For the film &quot;Raiders of The Lost Ark&quot;, what was Harrison Ford sick with during the filming of the Cairo chase?","Dysentery","Anemia|Constipation|Acid Reflux "
"Entertainment: Video Games","multiple","medium","In The Elder Scrolls V: Skyrim, who is the jester in the dark brotherhood?","Cicero","Lucien Lachance|Archimedes|Astrid"
"Entertainment: Musicals &amp; Theatres","multiple","hard","In Macbeth, the eyes of what animals were used in the Witches&#039; cauldron?","Newts","Humans|Sharks|Squids"
"Entertainment: Video Games","multiple","medium","In which game did the Konami Code make its first appearance?","Gradius","Contra|Castlevania|Dance Dance Revolution"
"General Knowledge","multiple","hard","The word &quot;abulia&quot; means which of the following?","The inability to make decisions","The inability to stand up|The inability to concentrate on anything|A feverish desire to rip one&#039;s clothes off"
"Entertainment: Television","multiple","hard","In &quot;Star Trek&quot;, what is the Klingon delicacy of &quot;gagh&quot; made from?","Serpent worms","Earthworms|Spaghetti noodles|Klingworms"
"Entertainment: Video Games","multiple","medium","What snowy mob was added in Minecraft 1.10?","Polar bears","Eskimos|Penguins|Walking TNT"
"Geography","multiple","easy","What is the largest country in the world?","Russia","Canada|China|United States"
"Entertainment: Video Games","multiple","hard","Which of these characters wasn&#039;t a villian in Club Penguin?","The Director","Herbert P. Bear|Tusk|Ultimate Proto-Bot 10000"
"Entertainment: Video Games","multiple","easy","Who created the digital distribution platform Steam?","Valve","Pixeltail Games|Ubisoft|Electronic Arts"
"Geography","boolean","medium","Japan has left-hand side traffic.","True","False"
"Entertainment: Video Games","multiple","easy","Before it&#039;s redesign of the company logo in the year 2000, which 3D shape is NOT represented in the Electronic Arts logo?","Cylinder","Pyramid|Cube|Sphere"
"General Knowledge","boolean","easy","King Gizzard &amp; The Lizard Wizard&#039;s album &quot;Nonagon Infinity&quot; can be looped seamlessly.","True","False"
"Entertainment: Video Games","multiple","medium","Which one of these characters was first introduced in Sonic Boom: Rise of Lyric?","Sticks the Badger","Mighty the Armadillo|Espio the Chameleon|Rouge the Bat"
"Entertainment: Video Games","multiple","hard","What device allows Tracer to manipulate her own time in the game &quot;Overwatch&quot;?","Chronal Accelerator","B.L.I.N.K|Spacial Displacement Manipulator|TMD (Time Manipulation Device)"
"History","multiple","medium","Which Apollo mission was the last one in NASA&#039;s Apollo program?","Apollo 17","Apollo 13|Apollo 11|Apollo 15"
"General Knowledge","multiple","easy","Which candy is NOT made by Mars?","Almond Joy","M&amp;M&#039;s|Twix|Snickers"
"Entertainment: Music","multiple","medium","Which band released the album &quot;Sonic Highways&quot; in 2014?","Foo Fighters","Coldplay|Nickelback|The Flaming Lips"
"Entertainment: Film","multiple","hard","In what year does Jurassic World open in the &quot;Jurassic Park&quot; universe?","2005","2007|2015|2020"
"Vehicles","multiple","medium","Which of the following passenger jets is the longest?","Boeing 747-8","Airbus A350-1000|Airbus A330-200|Boeing 787-10"
"Science &amp; Nature","multiple","easy","How many laws of thermodynamics are there?","Four","Three|Two|Five"
"History","boolean","medium","The first televised presidential debate was between Jimmy Carter and Gerald Ford.","False","True"
"Entertainment: Music","multiple","medium","Which Queen song was covered by Brittany Murphy in the 2006 film &quot;Happy Feet&quot;?","Somebody to Love","Under Pressure|Flash|Bohemian Rhapsody"
"Entertainment: Music","multiple","hard","What was the name of the hip hop group Kanye West was a member of in the late 90s?","The Go-Getters","The Jumpers|The Kickstarters|The Beat-Busters"
"Entertainment: Video Games","multiple","medium","How many regular Sunken Sea Scrolls are there in &quot;Splatoon&quot;?","27","32|30|5"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","Who is the author of the manga series &quot;Astro Boy&quot;?","Osamu Tezuka","Mitsuteri Yokoyama|Takao Saito|Yoshihiro Tatsumi"
"Entertainment: Cartoon &amp; Animations","multiple","hard","In the web-comic Homestuck, what is the name of the game the 4 kids play?","Sburb","Homesick|Husslie|Hiveswap"
"Vehicles","multiple","medium","What manufacturer made the car used in Back to the Future?","DeLorean","Ford|Toyota|Daihatsu"
"Animals","multiple","medium","What are the scales on all snakes and most lizards are made of?","Keratin","Ecdysis|Epidermis|Ankyloglossia"
"Geography","multiple","hard","The emblem on the flag of the Republic of Tajikistan features a sunrise over mountains below what symbol?","Crown","Bird|Sickle|Tree"
"Entertainment: Video Games","boolean","easy","Deus Ex (2000) does not feature the World Trade Center because it was destroyed by terrorist attacks according to the game&#039;s plot.","True","False"
"History","multiple","medium","Which dictator killed the most people?","Mao Zedong","Joseph Stalin|Adolf Hitler|Kim Il Sung"
"Science &amp; Nature","multiple","easy","Stars consist mainly of hydrogen and which other gas?","Helium","Oxygen|Argon|Nitrogen"
"Entertainment: Music","multiple","hard","Which of these is NOT a song featured on the Lockjaw EP released in 2013 by Flume &amp; Chet Faker?","Left Alone","What About Us|This Song Is Not About A Girl|Drop The Game"
